rank	serial	Bike ID	biketype_id	Bikenumber	last_communication	battery	real_battery	battery_state	reason	place	terminal_id	last_terminal_snap	firmware_version	target_firmware	configuration_version	mode	series_id	target_configuration	esp_firmware_version	target_esp_firmware	language_version	snap_id	snap_rev	snap_rev_date	iccid	imei	imsi	last_communication_snap	last_communication_sim	server	city	is_lent	active	repair	campaign_id	pedelec	street2	comments	pedelec_battery	lock_types	locked	is_charging	last_charging	spike_id	resource_blockage
11	10000209474	181336	214	410040	"2025-06-01 20:48:20"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										867604053912763		"2025-06-01 20:48:20"	"2025-06-01 20:48:20"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
12	10000129313	181338	214	410038	"2025-06-01 10:22:44"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046394492		"2025-06-01 10:22:44"	"2025-06-01 10:22:44"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
13	10000138585	181289	214	410087	"2025-05-29 01:40:01"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										864431040575690		"2025-05-29 01:40:01"	"2025-05-29 01:40:01"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
14	10000152842	181312	214	410064	"2025-05-28 16:52:41"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963046998589		"2025-05-28 16:52:41"	"2025-05-28 16:52:41"		408	0	0	1	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
15	10000132002	181348	214	410028	"2025-05-28 16:45:19"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963043881937		"2025-05-28 16:45:19"	"2025-05-28 16:45:19"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
16	10000138240	181370	214	410006	"2025-05-28 16:10:06"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049723557		"2025-05-28 16:10:06"	"2025-05-28 16:10:06"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
17	10000134687	181331	214	410045	"2025-05-28 12:19:43"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963043870955		"2025-05-28 12:19:43"	"2025-05-28 12:19:43"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
18	10000133498	181376	214	410000	"2025-05-28 01:40:05"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963043867050		"2025-05-28 01:40:05"	"2025-05-28 01:40:05"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
19	10000173963	181358	214	410018	"2025-05-27 17:03:35"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860640054804309		"2025-05-27 17:03:35"	"2025-05-27 17:03:35"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
20	10000137766	181334	214	410042	"2025-05-27 14:09:46"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963047609987		"2025-05-27 14:09:46"	"2025-05-27 14:09:46"		408	0	0	1	5151	1	"no enciende el panel pero si da la bateria"	""	0	"scooter_motor_lock"	1	0		0	"null"
21	10000133158	181307	214	410069	"2025-05-27 13:07:42"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963043875996		"2025-05-27 13:07:42"	"2025-05-27 13:07:42"		408	0	0	1	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
22	10000155264	181327	214	410049	"2025-05-26 19:00:29"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046482644		"2025-05-26 19:00:29"	"2025-05-26 19:00:29"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
23	10000130268	181365	214	410011	"2025-05-25 21:20:09"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046660322		"2025-05-25 21:20:09"	"2025-05-25 21:20:09"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
24	10000136496	181374	214	410002	"2025-05-25 01:28:51"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963043891837		"2025-05-25 01:28:51"	"2025-05-25 01:28:51"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
25	10000142179	181345	214	410031	"2025-05-24 20:37:25"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										864431040529747		"2025-05-24 20:37:25"	"2025-05-24 20:37:25"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
26	10000129744	181353	214	410023	"2025-05-24 19:48:22"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046671444		"2025-05-24 19:48:22"	"2025-05-24 19:48:22"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
27	10000138932	181300	214	410076	"2025-05-24 12:41:36"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049747804		"2025-05-24 12:41:36"	"2025-05-24 12:41:36"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
28	10000137532	181344	214	410032	"2025-05-24 08:28:18"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049754800		"2025-05-24 08:28:18"	"2025-05-24 08:28:18"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
29	10000155623	181335	214	410041	"2025-05-22 19:06:06"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054369519		"2025-05-22 19:06:06"	"2025-05-22 19:06:06"		408	0	0	1	5151	1	""	"frita, no. responde "	0	"scooter_motor_lock"	1	0		0	"null"
30	10000144419	181351	214	410025	"2025-05-22 17:09:49"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963047047592		"2025-05-22 17:09:49"	"2025-05-22 17:09:49"		408	0	0	0	5151	1	""	"En Oficina para uso de empleados."	0	"scooter_motor_lock"	1	0		0	"null"
31	10000130447	181354	214	410022	"2025-05-22 11:45:37"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046481570		"2025-05-22 11:45:37"	"2025-05-22 11:45:37"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
32	10000128847	181352	214	410024	"2025-05-20 12:24:43"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046463446		"2025-05-20 12:24:43"	"2025-05-20 12:24:43"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
33	10000137701	181332	214	410044	"2025-05-20 10:38:52"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0								""		864431040702062		"2025-05-20 10:38:52"	"2025-05-20 10:38:52"		408	0	0	1	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
34	10000129665	181342	214	410034	"2025-05-19 21:53:13"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										864431040672356		"2025-05-19 21:53:13"	"2025-05-19 21:53:13"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
35	10000138335	181299	214	410077	"2025-05-18 12:08:27"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										866833040624097		"2025-05-18 12:08:27"	"2025-05-18 12:08:27"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
36	10000144576	181318	214	410058	"2025-05-18 11:38:53"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049419065		"2025-05-18 11:38:53"	"2025-05-18 11:38:53"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
37	10000128375	181364	214	410012	"2025-05-18 11:34:52"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963047380092		"2025-05-18 11:34:52"	"2025-05-18 11:34:52"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
38	10000139068	181349	214	410027	"2025-05-18 03:30:32"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049386132		"2025-05-18 03:30:32"	"2025-05-18 03:30:32"		408	0	0	1	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
39	10000133716	181319	214	410057	"2025-05-16 16:48:29"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										862785049395406		"2025-05-16 16:48:29"	"2025-05-16 16:48:29"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
40	10000128220	181362	214	410014	"2025-05-15 20:03:58"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046425353		"2025-05-15 20:03:58"	"2025-05-15 20:03:58"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
41	10000128995	181324	214	410052	"2025-05-15 18:13:51"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046425429		"2025-05-15 18:13:51"	"2025-05-15 18:13:51"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
42	10000142900	181294	214	410082	"2025-05-13 00:23:42"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										864431040048516		"2025-05-13 00:23:42"	"2025-05-13 00:23:42"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
43	10000129082	181321	214	410055	"2025-05-11 19:13:51"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas arregladas"	""					0										860517046464410		"2025-05-11 19:13:51"	"2025-05-11 19:13:51"		408	0	0	1	5151	1	""	"swap"	0	"scooter_motor_lock"	1	0		0	"null"
44	10000139519	181293	214	410083	"2025-05-05 13:08:27"			"EMPTY RM"	"HEARTBEAT"	"Patinetas arregladas"	""					0										868963046974887		"2025-05-05 13:08:27"	"2025-05-05 13:08:27"		408	0	0	0	5151	1	""	""	95	"scooter_motor_lock"	1	0		0	"null"
45	10000155152	181372	214	410004	"2025-04-11 16:21:28"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054534666		"2025-04-11 16:21:28"	"2025-04-11 16:21:28"		408	0	0	1	5151	1	""	"da tirones y no coge velocidad"	0	"scooter_motor_lock"	1	0		0	"null"
46	10000152408	181323	214	410053	"2025-03-30 10:04:57"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963047013826		"2025-03-30 10:04:57"	"2025-03-30 10:04:57"		408	0	0	0	5151	1	"solo pita y a veces no enciende la luz,no se abre caja de casco,no suelta bateria,no se enciende"	""	0	"scooter_motor_lock"	1	0		0	"null"
47	10000132528	181316	214	410060	"2025-03-24 15:58:16"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963047610878		"2025-03-24 15:58:16"	"2025-03-24 15:58:16"		408	0	0	1	5151	1	""	"18/12/2024: no responde a ninguna orden excepto el honk (luz del. parpadea) pero no tiene aviso sonoro. Descartado problema del IoT se trata de un fallo del cableado o conectores entre batería y IoT."	0	"scooter_motor_lock"	1	0		0	"null"
48	10000136780	181302	214	410074	"2025-03-22 08:56:11"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963043879956		"2025-03-22 08:56:11"	"2025-03-22 08:56:11"		408	0	0	1	5151	1	"pendiente que se agote la bateria para que se reinicie la patineta,no es posible soltar ni bateria ni ordenador"	"no suelta bateria y no hace buena conexión con ésta "	0	"scooter_motor_lock"	1	0		0	"null"
49	10000132103	181368	214	410008	"2025-03-15 23:57:37"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040536221		"2025-03-15 23:57:37"	"2025-03-15 23:57:37"		408	0	0	1	5151	1	""	"no acelera"	0	"scooter_motor_lock"	1	0		0	"null"
50	10000137059	181296	214	410080	"2025-03-14 00:53:44"	122	3,8370	"CHARGED CF"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054873320		"2025-03-14 00:53:44"	"2025-03-14 00:53:44"		408	0	0	1	5151	1	""	"batería da mensaje de mal cerrada o no enganchada correctamente y no se puede soltar "	0	"scooter_motor_lock"	1	0		0	"null"
51	10000133723	181306	214	410070	"2025-03-14 00:53:32"	114	3,7690	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049747465		"2025-03-14 00:53:32"	"2025-03-14 00:53:32"		408	0	0	1	5151	1	""	"solo funciona luz y pita"	0	"scooter_motor_lock"	1	0		0	"null"
52	10000133793	181288	214	410088	"2025-03-13 11:36:58"	151	4,0835	"CHARGED CF"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963043901644		"2025-03-13 11:36:58"	"2025-03-13 11:36:58"		408	0	0	1	5151	1	""	"juego de direccion suelta NO TIENE CASCO"	0	"scooter_motor_lock"	1	0		0	"null"
53	10000155221	181309	214	410067	"2025-03-13 01:43:52"	96	3,6160	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054360278		"2025-03-13 01:43:52"	"2025-03-13 01:43:52"		408	0	0	1	5151	1	"leds laterales y holguras en manillar "	""	0	"scooter_motor_lock"	1	0		0	"null"
54	10000141646	181366	214	410010	"2025-03-11 20:05:31"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049393070		"2025-03-11 20:05:31"	"2025-03-11 20:05:31"		408	0	0	1	5151	1	""	"tapa lateral de cajetin del casco rota.  28/01/25 le quitamos IoT para otra patineta y comprobamos que esta tiene luz del. fundida y pantalla tampoco enciende. El IoT que le dejamos colocado no pasa de 6 km/h."	0	"scooter_motor_lock"	1	0		0	"null"
55	10000136057	181350	214	410026	"2025-03-10 20:52:50"	121	3,8285	"CHARGED CF"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049756524		"2025-03-10 20:52:50"	"2025-03-10 20:52:50"		408	0	0	0	5151	1	""	"no tiene aviso sonoro"	0	"scooter_motor_lock"	1	0		0	"null"
56	10000178634	181292	214	410084	"2025-03-03 16:24:00"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054857919		"2025-03-03 16:24:00"	"2025-03-03 16:24:00"		408	0	0	0	5151	1	"pendiente cambio de luces de indicadores del manillar"	""	0	"scooter_motor_lock"	1	0		0	"null"
57	10000218939	181357	214	410019	"2025-03-03 05:17:58"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054928199		"2025-03-03 05:17:58"	"2025-03-03 05:17:58"		408	0	0	0	5151	1	"el ordenador se enciende,pita pero no da mas datos"	"sin timbre "	0	"scooter_motor_lock"	1	0		0	"null"
58	10000128949	181355	214	410021	"2025-03-02 22:31:01"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054472701		"2025-03-02 22:31:01"	"2025-03-02 22:31:01"		408	0	0	1	5151	1	"10.10.2023 23:58:05: Returned by tier"	"Desaparecida en Lomo Los Frailes y recuperada en el CEIP Alfredo Kraus. Soporte del móvil arrancado. Sin aviso sonoro (cambiamos IoT desde la 410049)"	0	"scooter_motor_lock"	1	0		0	"null"
59	10000154203	181295	214	410081	"2025-03-02 07:31:53"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054505559		"2025-03-02 07:31:53"	"2025-03-02 07:31:53"		408	0	0	1	5151	1	"17.11.2023 21:28:17: Returned by tier"	"fallo pantalla E10 cambiar freno izquierdo,no funciona pita"	0	"scooter_motor_lock"	1	0		0	"null"
60	10000131232	181343	214	410033	"2025-03-01 22:50:36"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										867604050787903		"2025-03-01 22:50:36"	"2025-03-01 22:50:36"		408	0	0	0	5151	1	""	"no tiene aviso acústico, 1 semana con batería puesta y no funcionó"	0	"scooter_motor_lock"	1	0		0	"null"
61	10000138805	181325	214	410051	"2025-03-01 14:51:27"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049739124		"2025-03-01 14:51:27"	"2025-03-01 14:51:27"		408	0	0	1	5151	1	"09.07.2024 20:20:16: Returned by tier"	"holgura direccion, carcasa manillar rota"	0	"scooter_motor_lock"	1	0		0	"null"
62	10000139360	181315	214	410061	"2025-03-01 13:42:47"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963047375126		"2025-03-01 13:42:47"	"2025-03-01 13:42:47"		408	0	0	1	5151	1	"comprobado cableado inferior y superior."	"sin luces, ni pantalla ni intermitentes"	0	"scooter_motor_lock"	1	0		0	"null"
63	10000129906	181298	214	410078	"2025-03-01 06:50:33"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860517046430882		"2025-03-01 06:50:33"	"2025-03-01 06:50:33"		408	0	0	1	5151	1	""	"no comunican en ninguna parada, no tiene aviso sonoro"	0	"scooter_motor_lock"	1	0		0	"null"
64	10000148354	181311	214	410065	"2025-02-28 20:34:20"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049400248		"2025-02-28 20:34:20"	"2025-02-28 20:34:20"		408	0	0	0	5151	1	"error varios en pantalla"	"maneta izquierda "	0	"scooter_motor_lock"	1	0		0	"null"
65	10000138129	181317	214	410059	"2025-02-28 18:52:02"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040480107		"2025-02-28 18:52:02"	"2025-02-28 18:52:02"		408	0	0	1	5151	1	""	"no acelera fallo 20e"	0	"scooter_motor_lock"	1	0		0	"null"
66	10000142549	181313	214	410063	"2025-02-28 15:23:20"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431041563208		"2025-02-28 15:23:20"	"2025-02-28 15:23:20"		408	0	0	1	5151	1	""	"error GPS "	0	"scooter_motor_lock"	1	0		0	"null"
67	10000151747	181341	214	410035	"2025-02-28 14:51:54"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963047412101		"2025-02-28 14:51:54"	"2025-02-28 14:51:54"		408	0	0	0	5151	1	""	""	0	"scooter_motor_lock"	1	0		0	"null"
68	10000128855	181340	214	410036	"2025-02-28 13:27:42"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860517046464832		"2025-02-28 13:27:42"	"2025-02-28 13:27:42"		408	0	0	1	5151	1	"se ha probado el cableado,esta bien.fallo del iot"	"se para la patineta en Hotel Santa Catalina (pierde velocidad) no tiene aviso sonoro"	0	"scooter_motor_lock"	1	0		0	"null"
69	10000128875	181361	214	410015	"2025-02-28 10:51:37"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049466975		"2025-02-28 10:51:37"	"2025-02-28 10:51:37"		408	0	0	0	5151	1	"ordenador no pita"	""	0	"scooter_motor_lock"	1	0		0	"null"
70	10000130719	181308	214	410068	"2025-02-28 10:48:44"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040656904		"2025-02-28 10:48:44"	"2025-02-28 10:48:44"		408	0	0	1	5151	1	""	"Error code 25E    - 25E: No ECU heartbeat data received for more than 5 minutes.     1. Check if the ECU cable is loose.    2. Replace the ECU"	0	"scooter_motor_lock"	1	0		0	"null"
71	10000128554	181314	214	410062	"2025-02-28 07:29:58"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040759773		"2025-02-28 07:29:58"	"2025-02-28 07:29:58"		408	0	0	1	5151	1	""	"fallo iot. no tiene burra"	0	"scooter_motor_lock"	1	0		0	"null"
72	10000133212	181346	214	410030	"2025-02-28 07:14:40"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049398384		"2025-02-28 07:14:40"	"2025-02-28 07:14:40"		408	0	0	1	5151	1	"17.12.2024 22:57:14: Returned by tier"	"no detecta bateria"	0	"scooter_motor_lock"	1	0		0	"null"
73	10000135189	181290	214	410086	"2025-02-27 17:46:35"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										867604054617528		"2025-02-27 17:46:35"	"2025-02-27 17:46:35"		408	0	0	0	5151	1	""	"no enciende la pantalla ,el ordenador enciende y pita"	0	"scooter_motor_lock"	1	0		0	"null"
74	10000129962	181326	214	410050	"2025-02-27 17:19:29"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963047383534		"2025-02-27 17:19:29"	"2025-02-27 17:19:29"		408	0	0	1	5151	1	""	"Funciona el aviso sonoro pero no enciende luz, ni abre cajón de casco ni se desbloquea. No suelta batería tampoco."	0	"scooter_motor_lock"	1	0		0	"null"
75	10000141076	181291	214	410085	"2025-02-27 14:48:26"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040661631		"2025-02-27 14:48:26"	"2025-02-27 14:48:26"		408	0	0	0	5151	1	"cambiar motor de agarre de la bateria"	"la bateria se queda suelta"	0	"scooter_motor_lock"	1	0		0	"null"
76	10000155980	181310	214	410066	"2025-02-27 12:49:39"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										860640054375318		"2025-02-27 12:49:39"	"2025-02-27 12:49:39"		408	0	0	1	5151	1	""	"motor de agarre de bateria hace ruido,probado ordenador parte baja,caja negra pequeña y motor de agarre de bateria"	0	"scooter_motor_lock"	1	0		0	"null"
77	10000143974	181337	214	410039	"2025-02-27 12:46:46"	147	4,0495	"CHARGED CF"	"HEARTBEAT"	"Patinetas para reparar"	""					0										862785049737383		"2025-02-27 12:46:46"	"2025-02-27 12:46:46"		408	0	0	0	5151	1	"04.12.2023 11:58:21: TierVehicle is not rentable04.12.2023 11:58:20: TierVehicle is not rentable03.12.2023 19:59:53: se me spago y no se enciende"	"No da comunicación alguna, failed dependency continuo"	10	"scooter_motor_lock"	1	0		0	"null"
78	10000128214	181373	214	410003	"2025-02-27 12:36:35"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040516017		"2025-02-27 12:36:35"	"2025-02-27 12:36:35"		408	0	0	0	5151	1	""	"18/12/2024: el IoT no responde ni en esta ni en otras patinetas. La patineta no manda corriente al IoT. Otros ordenadores tampoco logran hacer funcionar nada en la patineta."	0	"scooter_motor_lock"	1	0		0	"null"
79	10000148676	181328	214	410048	"2025-02-27 11:26:23"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										864431040162689		"2025-02-27 11:26:23"	"2025-02-27 11:26:23"		408	0	0	0	5151	1	"14.08.2024 14:05:06: Returned by tier13.08.2024 17:49:16: Returned by employee"	"solo funciona luz y pita"	0	"scooter_motor_lock"	1	0		0	"null"
80	10000135573	181363	214	410013	"2025-02-27 11:19:16"	94	3,5990	"FULL CFR"	"HEARTBEAT"	"Patinetas para reparar"	""					0										868963043878594		"2025-02-27 11:19:16"	"2025-02-27 11:19:16"		408	0	0	1	5151	1	"revisar da error en pantalla"	"sin comunicación "	91	"scooter_motor_lock"	1	0		0	"null"
